---------- SpectralCalc.com -------------
 
 query:
    database: unknown
    molecules: O2 (7)
    lower waveband limit: 0.760 microns (13157.8947368421 cm-1)
    upper waveband limit: 0.781 microns (12804.0973111396 cm-1)
    intensity threshold: none
 
 number of lines found: 374
 
molecule, isotope, frequency, intensity, einstein_a, air_halfwidth, self_halfwidth, lower_energy, t_exponent, p_shift, upper_global, lower_global, upper_local, lower_local, err1, err2, err3, err4, err5, err6, ref1, ref2, ref3, ref4, ref5, ref6, mixing_flag, upper_weight, lower_weight
7,1,12979.660093,1.817e-27,0.01171,0.053,0.053,1574.5429,0.72,-0.0059,       b      1,       X      1,, R  3R  3     d,3,4,6,4,4,4,42,5,5,3,1,1,,9,7
7,2,12981.575607,4.098e-29,0.0222,0.0286,0.032,1611.4988,0.63,-0.0096,       b      0,       X      0,, P 34P 34     d,4,7,6,7,5,3,46,27,15,12,1,2,,67,69
7,1,12981.616474,2.63e-27,0.0168,0.053,0.053,1572.5865,0.72,-0.00645,       b      1,       X      1,, R  3Q  4     d,3,4,6,4,4,4,42,5,5,3,1,1,,9,9
7,3,12982.459761,1.052e-29,0.02413,0.0294,0.033,1561.642,0.63,-0.0095,       b      0,       X      0,, P 33P 33     d,3,5,6,6,5,3,46,27,15,12,1,2,,390,402
7,2,12983.299546,3.979e-29,0.02138,0.0286,0.032,1609.7749,0.63,-0.0095,       b      0,       X      0,, P 34Q 33     d,4,7,6,7,5,3,46,27,15,12,1,2,,67,67
7,3,12984.185223,1.02e-29,0.0232,0.0294,0.033,1559.9165,0.63,-0.0094,       b      0,       X      0,, P 33Q 32     d,3,5,6,6,5,3,46,27,15,12,1,2,,390,390
7,1,12984.267824,2.674e-27,0.01352,0.0507,0.052,1600.1329,0.73,-0.0061,       b      1,       X      1,, R  5R  5     d,3,4,6,4,4,4,42,5,5,3,1,1,,13,11
7,1,12986.261834,3.404e-27,0.01705,0.0507,0.052,1598.1388,0.73,-0.0071,       b      1,       X      1,, R  5Q  6     d,3,4,6,4,4,4,42,5,5,3,1,1,,13,13
7,2,12987.193454,6.211e-29,0.02223,0.0294,0.033,1519.8505,0.63,-0.0095,       b      0,       X      0,, P 33P 33     d,4,7,6,7,5,3,46,27,15,12,1,2,,65,67
7,3,12988.139499,1.591e-29,0.02416,0.0303,0.033,1470.2028,0.63,-0.0094,       b      0,       X      0,, P 32P 32     d,3,5,6,6,5,3,46,27,15,12,1,2,,378,390
7,1,12988.48034,3.13e-27,0.01449,0.0491,0.049,1637.0905,0.74,-0.00615,       b      1,       X      1,, R  7R  7     d,3,4,6,4,4,4,42,5,5,3,1,1,,17,15
7,1,12988.722531,5.029e-26,0.02287,0.0312,0.034,1422.5012,0.63,-0.0093,       b      0,       X      0,, P 31P 31     d,5,8,7,7,5,3,45,26,15,12,1,2,,61,63
